Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers,Duration,Site
Web Development Mastery Course 1,http://example.com/webdevelopment/1,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Certificate,English,English,"React, JavaScript, HTML",Instructor 138,4.9,166237,38 hours,Udemy
Web Development Mastery Course 2,http://example.com/webdevelopment/2,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Specialization,English,English,"CSS, HTML, Node.js",Instructor 142,4.8,47617,7 hours,Coursera
Web Development Mastery Course 3,http://example.com/webdevelopment/3,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Bootcamp,English,English,"Node.js, HTML, React",Instructor 93,4.6,142647,24 hours,Coursera
Web Development Mastery Course 4,http://example.com/webdevelopment/4,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Bootcamp,English,English,"JavaScript, Node.js, React",Instructor 86,4.2,247849,19 hours,FutureLearn
Web Development Mastery Course 5,http://example.com/webdevelopment/5,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Specialization,English,English,"Node.js, HTML, CSS",Instructor 88,4.6,23031,37 hours,FutureLearn
Web Development Mastery Course 6,http://example.com/webdevelopment/6,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Bootcamp,English,English,"JavaScript, HTML, CSS",Instructor 157,4.8,268015,35 hours,edX
Web Development Mastery Course 7,http://example.com/webdevelopment/7,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Bootcamp,English,English,"JavaScript, CSS, HTML",Instructor 22,5.0,457893,39 hours,FutureLearn
Web Development Mastery Course 8,http://example.com/webdevelopment/8,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Bootcamp,English,English,"HTML, CSS, JavaScript",Instructor 56,4.6,121747,32 hours,edX
Web Development Mastery Course 9,http://example.com/webdevelopment/9,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Specialization,English,English,"CSS, React, JavaScript",Instructor 153,4.3,321864,21 hours,Pluralsight
Web Development Mastery Course 10,http://example.com/webdevelopment/10,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Specialization,English,English,"HTML, JavaScript, CSS",Instructor 22,4.5,267929,31 hours,Udemy
Web Development Mastery Course 11,http://example.com/webdevelopment/11,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Certificate,English,English,"HTML, CSS, React",Instructor 106,5.0,102694,13 hours,edX
Web Development Mastery Course 12,http://example.com/webdevelopment/12,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Bootcamp,English,English,"JavaScript, HTML, CSS",Instructor 82,5.0,278419,9 hours,Pluralsight
Web Development Mastery Course 13,http://example.com/webdevelopment/13,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Certificate,English,English,"React, HTML, CSS",Instructor 82,4.4,494654,14 hours,Udemy
Web Development Mastery Course 14,http://example.com/webdevelopment/14,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Certificate,English,English,"Node.js, HTML, JavaScript",Instructor 66,4.9,325564,38 hours,edX
Web Development Mastery Course 15,http://example.com/webdevelopment/15,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Professional Certificate,English,English,"JavaScript, CSS, HTML",Instructor 131,4.5,280885,20 hours,Udemy
Web Development Mastery Course 16,http://example.com/webdevelopment/16,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Professional Certificate,English,English,"JavaScript, CSS, Node.js",Instructor 29,4.9,333975,35 hours,FutureLearn
Web Development Mastery Course 17,http://example.com/webdevelopment/17,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Bootcamp,English,English,"CSS, Node.js, JavaScript",Instructor 109,4.2,29823,13 hours,Udemy
Web Development Mastery Course 18,http://example.com/webdevelopment/18,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Certificate,English,English,"JavaScript, CSS, Node.js",Instructor 50,4.2,95127,31 hours,Coursera
Web Development Mastery Course 19,http://example.com/webdevelopment/19,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Certificate,English,English,"CSS, JavaScript, Node.js",Instructor 81,4.8,125395,26 hours,Udemy
Web Development Mastery Course 20,http://example.com/webdevelopment/20,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Bootcamp,English,English,"JavaScript, Node.js, React",Instructor 110,4.4,62783,26 hours,Udemy
Web Development Mastery Course 21,http://example.com/webdevelopment/21,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Specialization,English,English,"Node.js, CSS, JavaScript",Instructor 147,4.5,380240,30 hours,edX
Web Development Mastery Course 22,http://example.com/webdevelopment/22,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Professional Certificate,English,English,"React, CSS, Node.js",Instructor 118,5.0,473329,10 hours,edX
Web Development Mastery Course 23,http://example.com/webdevelopment/23,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Certificate,English,English,"Node.js, React, CSS",Instructor 33,4.6,166165,15 hours,edX
Web Development Mastery Course 24,http://example.com/webdevelopment/24,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Professional Certificate,English,English,"HTML, CSS, JavaScript",Instructor 17,4.7,453804,19 hours,Udemy
Web Development Mastery Course 25,http://example.com/webdevelopment/25,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Certificate,English,English,"Node.js, JavaScript, HTML",Instructor 70,5.0,375697,24 hours,edX
Web Development Mastery Course 26,http://example.com/webdevelopment/26,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Bootcamp,English,English,"JavaScript, CSS, React",Instructor 79,4.2,151214,29 hours,Pluralsight
Web Development Mastery Course 27,http://example.com/webdevelopment/27,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Specialization,English,English,"HTML, CSS, React",Instructor 49,4.6,423785,11 hours,edX
Web Development Mastery Course 28,http://example.com/webdevelopment/28,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Certificate,English,English,"CSS, JavaScript, Node.js",Instructor 50,4.9,42324,9 hours,Coursera
Web Development Mastery Course 29,http://example.com/webdevelopment/29,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Certificate,English,English,"Node.js, React, HTML",Instructor 143,4.9,376922,18 hours,FutureLearn
Web Development Mastery Course 30,http://example.com/webdevelopment/30,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Specialization,English,English,"JavaScript, CSS, Node.js",Instructor 55,4.3,380918,29 hours,Coursera
Web Development Mastery Course 31,http://example.com/webdevelopment/31,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Professional Certificate,English,English,"React, JavaScript, CSS",Instructor 169,4.9,165723,16 hours,Pluralsight
Web Development Mastery Course 32,http://example.com/webdevelopment/32,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Bootcamp,English,English,"JavaScript, React, CSS",Instructor 89,5.0,83828,38 hours,edX
Web Development Mastery Course 33,http://example.com/webdevelopment/33,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Specialization,English,English,"CSS, JavaScript, Node.js",Instructor 16,4.7,166591,32 hours,Coursera
Web Development Mastery Course 34,http://example.com/webdevelopment/34,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Professional Certificate,English,English,"Node.js, CSS, HTML",Instructor 148,4.8,394554,25 hours,edX
Web Development Mastery Course 35,http://example.com/webdevelopment/35,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Professional Certificate,English,English,"Node.js, JavaScript, HTML",Instructor 109,4.9,480675,9 hours,Udemy
Web Development Mastery Course 36,http://example.com/webdevelopment/36,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Specialization,English,English,"Node.js, React, CSS",Instructor 76,4.5,484493,35 hours,edX
Web Development Mastery Course 37,http://example.com/webdevelopment/37,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Professional Certificate,English,English,"CSS, React, HTML",Instructor 21,4.7,489389,36 hours,Udemy
Web Development Mastery Course 38,http://example.com/webdevelopment/38,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Specialization,English,English,"Node.js, HTML, JavaScript",Instructor 62,4.8,411711,40 hours,edX
Web Development Mastery Course 39,http://example.com/webdevelopment/39,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Certificate,English,English,"HTML, JavaScript, Node.js",Instructor 82,4.4,476806,8 hours,FutureLearn
Web Development Mastery Course 40,http://example.com/webdevelopment/40,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Certificate,English,English,"JavaScript, React, CSS",Instructor 191,4.8,255338,38 hours,Pluralsight
Web Development Mastery Course 41,http://example.com/webdevelopment/41,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Bootcamp,English,English,"HTML, Node.js, CSS",Instructor 177,4.9,487363,31 hours,FutureLearn
Web Development Mastery Course 42,http://example.com/webdevelopment/42,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Certificate,English,English,"JavaScript, React, HTML",Instructor 162,4.9,158210,38 hours,Coursera
Web Development Mastery Course 43,http://example.com/webdevelopment/43,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Bootcamp,English,English,"React, Node.js, JavaScript",Instructor 183,4.7,176967,20 hours,FutureLearn
Web Development Mastery Course 44,http://example.com/webdevelopment/44,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Specialization,English,English,"CSS, JavaScript, Node.js",Instructor 160,4.7,99392,21 hours,FutureLearn
Web Development Mastery Course 45,http://example.com/webdevelopment/45,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Professional Certificate,English,English,"JavaScript, CSS, Node.js",Instructor 36,4.8,270111,14 hours,edX
